:START_ID(r),:END_ID(c)
025264850,2f44c555-efc6-37b2-acf0-c6e2cea4eb91
025264907,47ec8ff0-4e84-3ad0-8556-ce51db9e06f3
025264907,ce6a0f82-9e21-34b8-a402-f7ede0693fea
025264931,03be7f6e-2e50-3376-a52e-01c72f60bd70
025264958,e96cc850-8b98-388d-9ce8-a003dafd32ff
025264958,3942fed0-ae1d-3d8f-8fa8-edc897d8400d
025264966,7364280f-0f34-37c2-819e-dc6979cc686e
025264966,fceb88cb-9a8a-3e9a-9e29-674cadf4040b
025265067,59825734-57c8-3921-bfb5-bd18a1af8bf0
025265075,40601690-ad7b-3c8e-833a-25cddf61cd0a
025265172,996c879e-4af0-3f0e-8f6f-4546b458d6fd
025265180,7f33bc0d-8b45-3a42-ab1d-7bc11585922c
025265237,61d03eba-02c1-3744-b5ca-2d1b4315ef0f
025265237,d3835ec3-da4b-317e-9a61-b2959a97d66f
025265253,5863f9ef-dca4-3eb1-801e-6c9bdd334b70
025265253,12ca0e12-890e-30f7-8060-c66a6a770405
025265261,523b6d2c-6ed0-3d84-b6f8-d642a0f44ef9
02526530X,d845f05c-f49c-39ae-9bf7-20fbc7bc41a6
025265393,215ee423-22c9-360d-b4b1-f5d8afd2233a
025265415,853ac2ca-3502-3be5-aeb3-bb5ac12dec84
025265415,2cc605e6-52ce-3e02-ab20-1b9307cbf3bd
025265415,40a4f710-e39f-3095-8de3-f3d8ca64be98
025265423,64687b83-681f-3e88-a34e-68b53c34cca7
025265423,7da760d6-ce04-30d3-8f62-ea6f443a8d01
025265423,44d1ffd2-5d3a-33dc-bf5d-2bce25ec1a94
025265458,f56c89bd-3c0b-3cd1-9687-9b0c65b7e3a1
025265458,ff7b20de-a860-3f6c-ae09-a1c4f7d3246a
025265466,43fa2105-cfd8-3d79-b0a1-b21885e5a02d
025265466,4e9bf7f7-ed7c-3232-a4e5-c15f4b3a58ce
025265474,6c58ba81-5535-3074-a0ed-78ced8d4ad4f
025265474,01b30c71-02f8-3d23-863a-7b91c23a966d
025265504,5b5208cc-ad6e-34ed-b8a7-b2bea0212b46
025265504,aa8388e4-52df-3f45-8f31-f66a121435d9
025265520,1399aa0c-b8b1-335b-b701-8efe5d916ce9
025265520,cc2b5b5d-1619-3ed2-b939-3d4ee0d5f141
025265628,be47f6b8-9c80-32ec-a25c-25b82e3a0803
025265652,1399aa0c-b8b1-335b-b701-8efe5d916ce9
025265652,37de0457-3eb5-3103-978e-65fd222ae7ad
025265725,678dae8a-9143-3688-86d2-5c1ae6bf77c0
025265733,97e003bc-55a9-30e6-b248-f531142a44c6
02526575X,86f0aa5f-31ad-3451-8770-148bbc46e917
02526575X,2b680426-ea2a-3ef8-a3d7-d47cec356b5b
025265806,e6a32757-3964-3d98-8c2a-735f625c3f75
025265806,f0d93fa4-a5d7-3ad6-844c-415c8e6ddb74
02526589X,cb24124b-2ea9-3546-9422-0cdb0775d653
02526589X,01a391fc-cd9b-3045-81cb-fae0d3f3c5e8
025265962,012e167f-b58e-3812-8885-4cddd4d356fb
025265962,dddd9846-9fde-30a0-a480-1089ba380e80
025265962,566ff77c-f14a-30bc-9052-8acf8ced8954
025266004,0da6c2f7-9942-34d2-983f-46ce2f44f26f
025266004,00984ff4-23a2-322b-b885-8694056c27d3
025266012,16261292-9507-3580-99d9-b4dc78c74a64
025266012,ab9d6ddc-2deb-3020-a76b-d0c3d51a3923
025266020,760e2322-4fe8-3a99-82a0-662b4a6890de
025266020,e7abc5c7-60e0-3657-b4fd-bfdc22798e8d
025266063,4e6f02de-e0e3-37f8-8af0-b6354e3397a2
025266063,b6621c54-1577-38b3-95c4-14f24dac3b26
025266098,464b84c3-63d6-355c-904e-fad828b55a3e
025266101,261aebd1-fd8b-3f0d-898b-f88491dd0024
025266101,84c27191-c14f-31b6-9ad7-bf8b02a82c3e
025266160,ca934261-8d77-3ebf-8184-d4bf5729aeb2
025266160,8859f7a9-ff11-32c4-b824-01a2369efd2b
025266179,fb06031d-13a9-3114-a1af-86d797b7ab7e
025266179,7861dc80-053c-3e5e-aee3-c35be31ba917
025266187,f80547f0-f847-375c-b38a-10dcbb4fce75
025266195,6acdc443-9db0-3926-9334-c0cd3ac6a442
025266233,cf9969c6-8cce-30c2-9358-1262b7c7a5ae
025266241,f6a2d917-60f4-3f89-86ee-65851a72c52f
025266306,66376f2b-cd4b-3207-a27f-1d80ab6535c9
025266322,5347b30b-7c05-33c2-983b-3934bd1d0c8f
025266365,f6c3adfe-57a4-385f-8e57-3f1894a26fb4
025266365,4c2d1384-0c1f-3a1c-a42b-703b17268e4b
025266403,966a3add-ebee-33ac-a096-09cf9bb72e0d
025266497,0d839852-8cec-3825-8512-1c1c31409a21
025266543,d1fdb81c-ed95-32fa-b9c8-ac0a54c93918
02526656X,f919c471-ea6a-3247-9883-8e452d48ba98
025266853,bcd94361-7f92-35ff-99c7-b3eaccbf174e
02526690X,7e6232b3-a03e-3dd1-9e32-9b0413e6831c
02526690X,20e3090e-9c36-3c65-9d88-9a3ff1f97fd4
025266950,61d03eba-02c1-3744-b5ca-2d1b4315ef0f
025266950,36d8b7eb-1107-37cd-b3e1-c404f2628a37
025266950,ed01c64a-cc87-383d-8ab9-9aec08111831
025266969,4d83d8fc-bd53-3f89-b2f2-ddbdfe4f5547
025266969,72a573dd-e3b9-3c33-a43a-5759441c311c
025266977,91a9270b-e7e1-3fa8-9713-313e6234d045
025266977,0a1753e0-a2bd-349b-af2a-96a52a640e5e
025267086,4d50fcd4-1c84-3c1f-9def-a85506dac85d
025267183,a1b5aab2-5d55-3df4-88ef-5d02580008c7
025267272,bffe5907-aeb2-3aef-a100-4bd5dd2caad3
025267272,9833dfce-833c-3182-a22a-c5cb97e699b1
025267299,481af586-5580-3cd3-82f9-8582091a3530
02526740X,abf90b94-e2b0-3e7b-9d62-3e598c24b778
02526740X,175809b3-c869-3649-93d2-a154933743d4
025267477,a55a4674-ba34-3236-9f03-1945596da2d1
025267477,c59ec438-7963-3124-812a-706d6365be12
025267485,84f3a4c3-5f85-38cb-acf7-a24bab5709b8
025267485,8a16b0d2-4e4d-3644-b61a-5a223def740b
025267507,fde1ee27-904c-38b3-ad33-a5f045de31e5
025267507,7ce99875-4e90-343e-a937-65be456a5e04
025267515,5d411bd4-54de-36c3-9fdc-607468325f5d
025267515,f93717e9-15c3-3dda-80cd-b5323144f6a7
025267523,d461c9a6-aad6-3632-b2fd-630a9b62cb55
02526754X,6230808d-6b9f-360c-9f77-64c1968718e0
025267701,2f85b012-2502-34bb-9027-291a34d107cd
02526771X,d736d5b3-73f9-3368-8294-9b2c656389bf
025267779,524389a9-bb4e-35f6-9e89-ca8c5f84610c
025267779,efad8947-39c8-35d5-b60f-1b8f5cfc3c41
02526785X,6e5184d1-1186-39f0-b4b9-2c6bc8c2d718
025267957,1938d039-fb41-3755-b96a-2e98140abc5e
025268007,ad2981cf-504c-3a89-8079-d5ee0fb176ea
