resId:ID(r),sysno
02527211X,'OCoLC/75319837;IDSLU/000351926'
025272128,'OCoLC/886100367;IDSLU/000351927'
025272136,'OCoLC/886100484;IDSLU/000351928'
025272144,'OCoLC/611479705;IDSLU/000351925'
025272152,'OCoLC/886100499;IDSLU/000351929'
025272160,'OCoLC/886100483;IDSLU/000351930'
025272187,'OCoLC/74527009;IDSLU/000351932'
025272209,'OCoLC/611479796;IDSLU/000351934'
025272241,'OCoLC/611479849;IDSLU/000351938'
025272268,'OCoLC/886100495;IDSLU/000351941'
025272284,'OCoLC/886100635;IDSLU/000351943'
025272314,'OCoLC/886100570;IDSLU/000351946'
025272357,'OCoLC/611479949;IDSLU/000351947'
025272403,'OCoLC/75263435;IDSLU/000351957'
025272411,'OCoLC/611480047;IDSLU/000351959'
025272497,'OCoLC/886100844;IDSLU/000351966'
025272500,'OCoLC/886100823;IDSLU/000351967'
025272527,'OCoLC/611480151;IDSLU/000351969'
025272543,'OCoLC/611480178;IDSLU/000351971'
025272551,'OCoLC/886100904;IDSLU/000351972'
025272659,'OCoLC/611480768;IDSLU/000351983'
025272667,'OCoLC/74867749;IDSLU/000351984'
025272705,'OCoLC/74388670;IDSLU/000351989'
025272721,'OCoLC/611480845;IDSLU/000351990'
025272748,'OCoLC/75148413;IDSLU/000351993'
025272772,'OCoLC/886101139;IDSLU/000351997'
02527287X,'OCoLC/256975719;IDSLU/000352007'
025272896,'OCoLC/611481090;IDSLU/000352009'
025272918,'OCoLC/611481110;IDSLU/000352011'
025272977,'OCoLC/74157867;IDSLU/000352017'
025272985,'OCoLC/75265713;IDSLU/000352018'
025273027,'OCoLC/611481730;IDSLU/000352023'
025273167,'OCoLC/246306893;IDSLU/000352035'
025273175,'OCoLC/74172996;IDSLU/000352038'
025273183,'OCoLC/611481899;IDSLU/000352039'
025273221,'OCoLC/74221229;IDSLU/000352043'
025273388,'OCoLC/74414499;IDSLU/000352059'
025273396,'OCoLC/884320833;IDSLU/000352060'
025273493,'OCoLC/75268856;IDSLU/000352068'
025273515,'OCoLC/74163190;IDSLU/000352072'
025273582,'OCoLC/611482308;IDSLU/000352080'
025273639,'OCoLC/611482340;IDSLU/000352085'
025273655,'OCoLC/74565300;IDSLU/000352086'
025273663,'OCoLC/886105077;IDSLU/000352088'
02527368X,'OCoLC/886105078;IDSLU/000352091'
025273701,'OCoLC/886104969;IDSLU/000352094'
025273744,'OCoLC/611482419;IDSLU/000352097'
025273779,'OCoLC/632259565;IDSLU/000352101'
025273795,'OCoLC/886105275;IDSLU/000352102'
025273841,'OCoLC/886105413;IDSLU/000352107'
025273892,'OCoLC/886105389;IDSLU/000352113'
025273914,'OCoLC/886105560;IDSLU/000352115'
025273930,'OCoLC/611482623;IDSLU/000352117'
025273981,'OCoLC/74801682;IDSLU/000352121'
025274074,'OCoLC/611483709;IDSLU/000352131'
025274104,'OCoLC/611483729;IDSLU/000352133'
025274112,'OCoLC/75050778;IDSLU/000352135'
025274147,'OCoLC/74455710;IDSLU/000352134'
025274201,'OCoLC/611483804;IDSLU/000352143'
025274368,'OCoLC/75303703;IDSLU/000352162'
025274392,'OCoLC/886106040;IDSLU/000352165'
025274414,'OCoLC/611483996;IDSLU/000352167'
025274538,'OCoLC/611485086;IDSLU/000352181'
025274546,'OCoLC/75082660;IDSLU/000352182'
025274562,'OCoLC/886106209;IDSLU/000352180'
025274570,'OCoLC/886106304;IDSLU/000352185'
025274597,'OCoLC/886106284;IDSLU/000352187'
025274619,'OCoLC/605458494;IDSLU/000352189'
025274627,'OCoLC/611485173;IDSLU/000352190'
025274635,'OCoLC/886106285;IDSLU/000352191'
025274708,'OCoLC/611485259;IDSLU/000352199'
025274732,'OCoLC/611485253;IDSLU/000352198'
025274740,'OCoLC/75191632;IDSLU/000352202'
025274767,'OCoLC/75268862;IDSLU/000352206'
025274880,'OCoLC/611485430;IDSLU/000352217'
